user speed delay
1 1 1020
1 1 576
1 1 705
1 1 644
1 1 451
1 1 514
1 1 529
1 1 441
1 1 548
1 1 465
1 1 867
1 1 505
1 1 519
1 1 517
1 1 507
1 1 646
1 1 535
1 1 464
1 1 463
1 1 578
1 1 777
1 1 603
1 1 408
1 1 453
1 1 574
1 1 398
1 1 446
1 1 555
1 1 537
1 1 595
1 1 707
1 1 445
1 1 444
1 1 476
1 1 659
1 1 447
1 1 508
1 1 447
1 1 417
1 1 523
2 1 1419
2 1 959
2 1 687
2 1 964
2 1 829
2 1 959
2 1 649
2 1 890
2 1 1056
2 1 716
2 1 1190
2 1 626
2 1 855
2 1 913
2 1 916
2 1 751
2 1 711
2 1 823
2 1 1099
2 1 989
2 1 1302
2 1 712
2 1 670
2 1 525
2 1 719
2 1 443
2 1 1136
2 1 572
2 1 784
2 1 692
2 1 1255
2 1 709
2 1 528
2 1 479
2 1 687
2 1 769
2 1 521
2 1 529
2 1 903
4 1 1817
4 1 1416
4 1 1654
4 1 1419
4 1 1025
4 1 1707
4 1 1251
4 1 1016
4 1 1113
4 1 838
4 1 2096
4 1 1288
4 1 1321
4 1 1233
4 1 1655
4 1 1426
4 1 1004
4 1 1477
4 1 917
4 1 1156
4 1 1906
4 1 1107
4 1 1618
4 1 921
4 1 1621
4 1 1780
4 1 1368
4 1 1857
4 1 1198
4 1 1621
4 1 2543
4 1 1714
4 1 1089
4 1 1615
4 1 1643
4 1 1630
4 1 1178
4 1 1239
4 1 1302
4 1 1325
5 1 3109
5 1 1397
5 1 1429
5 1 2145
5 1 2361
5 1 1472
5 1 1763
5 1 1747
5 1 1479
5 1 1671
5 1 2667
5 1 1647
5 1 1420
5 1 1298
5 1 1591
5 1 1971
5 1 1508
5 1 930
5 1 926
5 1 2497
5 1 1369
5 1 1968
5 1 1659
5 1 1882
5 1 1826
5 1 1538
5 1 2135
5 1 1264
5 1 1954
5 1 3079
5 1 1914
5 1 1797
5 1 1451
5 1 1771
5 1 1575
5 1 1596
5 1 1422
5 1 1512
5 1 1467
6 1 2987
6 1 2180
6 1 1847
6 1 1868
6 1 1243
6 1 1132
6 1 1889
6 1 1637
6 1 3465
6 1 2515
6 1 2726
6 1 1618
6 1 1716
6 1 2100
6 1 2168
6 1 1526
6 1 1313
6 1 3902
6 1 2285
6 1 1450
6 1 1723
6 1 1964
6 1 2084
6 1 1556
6 1 1219
6 1 1649
6 1 1994
6 1 3454
6 1 2312
6 1 2371
6 1 2752
6 1 1428
6 1 2031
6 1 1287
6 1 1505
6 1 1461
8 1 3882
8 1 2960
8 1 2317
8 1 1820
8 1 1793
8 1 1877
8 1 1532
8 1 1911
8 1 1928
8 1 2974
8 1 4230
8 1 3021
8 1 581
8 1 1853
8 1 3309
8 1 1990
8 1 1832
8 1 3609
8 1 2904
8 1 2605
8 1 1918
8 1 1866
8 1 1372
8 1 2051
8 1 2920
8 1 2139
8 1 1610
8 1 3758
8 1 3687
8 1 1675
8 1 1384
8 1 2314
8 1 1771
8 1 2800
8 1 2014
10 1 4559
10 1 2860
10 1 2026
10 1 2160
10 1 2052
10 1 1640
10 1 1420
10 1 1549
10 1 2253
10 1 4172
10 1 2131
10 1 2204
10 1 2655
10 1 1726
10 1 2536
10 1 1670
10 1 1938
10 1 1842
10 1 3721
10 1 2680
10 1 2555
10 1 1804
10 1 1856
10 1 1824
10 1 1180
10 1 4016
10 1 2589
10 1 2747
10 1 2333
10 1 2160
10 1 2006
10 1 2226
10 1 2275
10 1 1299
10 1 2294
11 1 4670
11 1 3885
11 1 1836
11 1 2688
11 1 1873
11 1 2261
11 1 1695
11 1 2874
11 1 1647
11 1 4535
11 1 4484
11 1 2468
11 1 1654
11 1 2171
11 1 1661
11 1 1128
11 1 1434
11 1 2229
11 1 4406
11 1 1676
11 1 1799
11 1 1764
11 1 2519
11 1 1367
11 1 1792
11 1 1960
11 1 1915
11 1 4044
11 1 2417
11 1 1895
11 1 2153
11 1 2644
11 1 2272
11 1 1345
11 1 1874
11 1 1965
12 1 5058
12 1 1913
12 1 2101
12 1 1674
12 1 2397
12 1 1114
12 1 1672
12 1 1327
12 1 4384
12 1 1843
12 1 3337
12 1 2369
12 1 1720
12 1 2237
12 1 1656
12 1 1052
12 1 1385
12 1 5700
12 1 4367
12 1 2631
12 1 2166
12 1 1601
12 1 2675
12 1 1122
12 1 1541
12 1 5134
12 1 3801
12 1 1757
12 1 2803
12 1 1652
12 1 1678
12 1 1967
13 1 4130
13 1 2088
13 1 2144
13 1 1768
13 1 1875
13 1 1632
13 1 1410
13 1 1742
13 1 5210
13 1 3233
13 1 3091
13 1 1724
13 1 2502
13 1 2765
13 1 2542
13 1 2296
13 1 3828
13 1 5216
13 1 2959
13 1 3026
13 1 1601
13 1 2739
13 1 3078
13 1 4809
13 1 3645
13 1 3155
13 1 2971
13 1 2247
13 1 2162
13 1 1716
14 1 4706
14 1 4087
14 1 3000
14 1 2180
14 1 2527
14 1 1638
14 1 2908
14 1 2202
14 1 1898
14 1 4489
14 1 4146
14 1 2564
14 1 1875
14 1 1440
14 1 1600
14 1 1825
14 1 4668
14 1 5324
14 1 2831
14 1 2630
14 1 2509
14 1 2275
14 1 5539
14 1 4449
14 1 3980
14 1 3295
14 1 2863
14 1 2451
14 1 2849
14 1 1896
14 1 1600
14 1 1860
15 1 4616
15 1 3500
15 1 3491
15 1 1354
15 1 2248
15 1 1546
15 1 1337
15 1 1779
15 1 2521
15 1 1900
15 1 4188
15 1 4806
15 1 3170
15 1 2543
15 1 2486
15 1 1786
15 1 2107
15 1 1583
15 1 3892
15 1 3339
15 1 3126
15 1 3434
15 1 628
15 1 1390
15 1 5039
15 1 2073
15 1 1878
15 1 1946
15 1 1553
15 1 1986
15 1 1695
16 1 4540
16 1 3849
16 1 3515
16 1 3734
16 1 2761
16 1 3081
16 1 4901
16 1 4895
16 1 3981
16 1 2377
16 1 2354
16 1 2558
16 1 2834
16 1 2022
16 1 5073
16 1 4206
16 1 3372
16 1 3041
16 1 2448
16 1 2564
16 1 2111
16 1 1371
16 1 1832
16 1 4110
16 1 3208
16 1 2730
16 1 2659
16 1 1412
16 1 1561
16 1 2279
16 1 1934
17 1 5882
