user speed delay
1 1 762
1 1 406
1 1 481
1 1 454
1 1 414
1 1 401
1 1 325
1 1 306
1 1 285
1 1 307
1 1 692
1 1 283
1 1 468
1 1 365
1 1 379
1 1 319
1 1 380
1 1 377
1 1 319
1 1 289
1 1 625
1 1 414
1 1 251
1 1 271
1 1 307
1 1 338
1 1 287
1 1 294
1 1 275
1 1 337
1 1 585
1 1 317
1 1 283
1 1 281
1 1 344
1 1 353
1 1 347
1 1 385
1 1 369
1 1 275
2 1 1070
2 1 663
2 1 710
2 1 750
2 1 734
2 1 640
2 1 563
2 1 764
2 1 375
2 1 646
2 1 861
2 1 244
2 1 354
2 1 319
2 1 600
2 1 553
2 1 533
2 1 483
2 1 586
2 1 332
2 1 1115
2 1 261
2 1 291
2 1 296
2 1 456
2 1 427
2 1 521
2 1 605
2 1 330
2 1 329
2 1 827
2 1 447
2 1 415
2 1 506
2 1 493
2 1 709
2 1 535
2 1 463
2 1 643
2 1 426
4 1 1987
4 1 731
4 1 1053
4 1 686
4 1 581
4 1 1167
4 1 1005
4 1 650
4 1 1138
4 1 1884
4 1 945
4 1 655
4 1 998
4 1 1073
4 1 967
4 1 1074
4 1 981
4 1 797
4 1 975
4 1 1964
4 1 637
4 1 466
4 1 699
4 1 540
4 1 646
4 1 966
4 1 912
4 1 1145
4 1 1198
4 1 2046
4 1 571
4 1 749
4 1 844
4 1 1014
4 1 932
4 1 657
4 1 678
4 1 963
4 1 728
5 1 3229
5 1 1037
5 1 910
5 1 822
5 1 1014
5 1 886
5 1 1112
5 1 1029
5 1 781
5 1 2509
5 1 729
5 1 772
5 1 923
5 1 942
5 1 1093
5 1 1464
5 1 1583
5 1 860
5 1 2473
5 1 645
5 1 1039
5 1 956
5 1 1285
5 1 1056
5 1 1151
5 1 724
5 1 946
5 1 1033
5 1 2101
5 1 281
5 1 1243
5 1 510
5 1 1074
5 1 1063
5 1 965
5 1 660
5 1 959
5 1 770
6 1 2371
6 1 384
6 1 1269
6 1 666
6 1 989
6 1 628
6 1 1216
6 1 754
6 1 2434
6 1 454
6 1 786
6 1 1490
6 1 1120
6 1 1024
6 1 1018
6 1 794
6 1 1096
6 1 2646
6 1 404
6 1 908
6 1 1259
6 1 1351
6 1 791
6 1 832
6 1 575
6 1 2338
6 1 492
6 1 940
6 1 1048
6 1 895
6 1 1078
6 1 1226
6 1 1345
6 1 1304
6 1 961
8 1 2637
8 1 893
8 1 1147
8 1 1199
8 1 978
8 1 1387
8 1 2001
8 1 1356
8 1 3031
8 1 969
8 1 729
8 1 829
8 1 550
8 1 822
8 1 1172
8 1 1517
8 1 2650
8 1 894
8 1 820
8 1 908
8 1 980
8 1 538
8 1 859
8 1 895
8 1 2409
8 1 788
8 1 1176
8 1 885
8 1 1567
8 1 880
8 1 929
8 1 1481
8 1 1417
8 1 1460
10 1 2361
10 1 491
10 1 1008
10 1 1001
10 1 1136
10 1 1917
10 1 1458
10 1 1674
10 1 1769
10 1 1207
10 1 2966
10 1 1548
10 1 765
10 1 1190
10 1 1010
10 1 1563
10 1 2182
10 1 1741
10 1 1236
10 1 1278
10 1 2462
10 1 1003
10 1 897
10 1 938
10 1 1834
10 1 1747
10 1 1245
10 1 820
10 1 1986
10 1 1547
10 1 2602
10 1 761
10 1 974
10 1 1478
10 1 1475
10 1 1768
10 1 1262
10 1 1708
10 1 1559
10 1 1353
11 1 2469
11 1 1068
11 1 1867
11 1 1351
11 1 1332
11 1 1857
11 1 1543
11 1 3073
11 1 1105
11 1 874
11 1 1448
11 1 1494
11 1 1152
11 1 1688
11 1 1249
11 1 2457
11 1 786
11 1 788
11 1 1325
11 1 1201
11 1 1124
11 1 937
11 1 1822
11 1 2802
11 1 784
11 1 1292
11 1 944
11 1 1783
11 1 1403
11 1 1390
11 1 1507
11 1 1817
12 1 2620
12 1 753
12 1 1172
12 1 1664
12 1 1399
12 1 1370
12 1 1955
12 1 3082
12 1 412
12 1 1686
12 1 1270
12 1 1683
12 1 2208
12 1 1521
12 1 2912
12 1 1320
12 1 1329
12 1 2004
12 1 2024
12 1 1537
12 1 1206
12 1 1614
12 1 2277
12 1 742
12 1 1854
12 1 1552
12 1 2131
12 1 1705
12 1 1136
12 1 1571
13 1 2936
13 1 1654
13 1 1563
13 1 1397
13 1 1916
13 1 1216
13 1 1182
13 1 3194
13 1 1173
13 1 831
13 1 2177
13 1 2452
13 1 1704
13 1 1859
13 1 1331
13 1 1650
13 1 2205
13 1 1201
13 1 1192
13 1 1372
13 1 1171
13 1 2549
13 1 1524
13 1 1645
13 1 1462
13 1 2418
13 1 1273
13 1 1573
13 1 1893
13 1 2077
13 1 1268
13 1 1596
13 1 1234
13 1 967
14 1 3069
14 1 1759
14 1 2511
14 1 3178
14 1 2347
14 1 1664
14 1 1488
14 1 1589
14 1 2865
14 1 1783
14 1 2189
14 1 1271
14 1 1979
14 1 2522
14 1 1538
14 1 1658
14 1 1184
14 1 1400
14 1 3189
14 1 1977
14 1 2540
14 1 2060
14 1 1516
14 1 1439
14 1 1497
14 1 1428
14 1 1595
14 1 2657
14 1 2618
14 1 1962
14 1 1519
14 1 1124
14 1 1130
15 1 2418
15 1 1702
15 1 1071
15 1 1426
15 1 1643
15 1 1784
15 1 1188
15 1 1340
15 1 2958
15 1 1188
15 1 1121
15 1 2672
15 1 2203
15 1 1835
15 1 4164
15 1 1342
15 1 1258
15 1 1103
15 1 1349
15 1 1300
15 1 2993
15 1 1841
15 1 1389
15 1 1956
15 1 1855
15 1 823
15 1 957
15 1 1221
15 1 1316
16 1 2937
16 1 1320
16 1 1353
16 1 1855
16 1 1139
16 1 1844
16 1 2366
16 1 3364
16 1 1344
16 1 1040
16 1 1236
16 1 1579
16 1 1168
16 1 1191
16 1 1297
16 1 1022
16 1 3053
16 1 2040
16 1 1503
16 1 2500
16 1 1870
16 1 1189
16 1 3028
16 1 1392
16 1 1502
16 1 1615
16 1 1342
16 1 1137
16 1 1285
17 1 3265
17 1 1315
17 1 1310
17 1 1524
17 1 1150
17 1 1258
17 1 1200
17 1 1275
17 1 1255
17 1 3889
17 1 1692
17 1 1257
17 1 1672
17 1 1501
17 1 1718
17 1 3269
17 1 1476
17 1 2302
17 1 1201
17 1 1317
17 1 759
17 1 3141
17 1 1220
17 1 1907
17 1 1116
17 1 2352
17 1 1546
17 1 1462
17 1 1204
18 1 3723
18 1 1551
18 1 1558
18 1 2166
18 1 1807
18 1 1099
18 1 1221
18 1 1778
18 1 2663
18 1 2098
18 1 1507
18 1 1797
18 1 1422
18 1 1676
18 1 3281
18 1 1892
18 1 2114
18 1 1624
18 1 1207
18 1 1049
18 1 1512
18 1 454
18 1 3244
18 1 2077
18 1 1003
18 1 1120
18 1 1801
18 1 1390
18 1 975
18 1 925
20 1 2907
20 1 385
20 1 1746
20 1 1932
20 1 1851
20 1 1808
20 1 1808
20 1 1684
20 1 2818
20 1 1553
20 1 1499
20 1 1318
20 1 1742
20 1 1467
20 1 1610
20 1 1945
20 1 3697
20 1 1658
20 1 1575
20 1 2171
20 1 1586
20 1 1922
20 1 3191
20 1 1952
20 1 1863
20 1 1260
20 1 1828
20 1 1592
21 1 3109
21 1 2069
21 1 1366
21 1 1803
21 1 1449
21 1 2521
21 1 1009
21 1 1201
21 1 1322
21 1 1582
21 1 2414
21 1 1585
21 1 1118
21 1 2007
21 1 3065
21 1 1141
21 1 1585
21 1 1135
21 1 1588
21 1 1450
21 1 1705
21 1 1385
21 1 2224
21 1 1265
21 1 1704
21 1 1957
21 1 2215
21 1 2619
21 1 1856
21 1 1860
22 1 3454
22 1 1503
22 1 1558
22 1 1414
22 1 2255
22 1 1356
22 1 1730
22 1 2584
22 1 1659
22 1 1875
22 1 3286
22 1 1727
22 1 1582
22 1 2018
22 1 2037
22 1 1454
22 1 2851
22 1 1146
22 1 1856
22 1 1587
22 1 1246
22 1 1337
22 1 1512
22 1 1709
22 1 3123
22 1 1584
22 1 1999
22 1 2162
22 1 1791
22 1 1548
22 1 1218
22 1 1435
23 1 2891
23 1 1108
23 1 1776
23 1 1959
23 1 2683
23 1 1626
23 1 1970
23 1 1481
23 1 1838
23 1 3416
23 1 807
23 1 1628
23 1 2310
23 1 1907
23 1 1890
23 1 2259
23 1 1995
23 1 719
23 1 2636
23 1 2597
23 1 1562
23 1 2126
23 1 3057
23 1 2068
23 1 2259
23 1 1090
23 1 1933
23 1 2398
24 1 3209
24 1 1425
24 1 1383
24 1 1221
24 1 1345
24 1 1426
24 1 1555
24 1 1861
24 1 3050
24 1 293
24 1 2285
24 1 2415
24 1 1957
24 1 2682
24 1 2634
24 1 1803
24 1 1451
24 1 3471
24 1 1638
24 1 3239
24 1 1917
24 1 2223
24 1 951
24 1 1148
24 1 2077
24 1 3476
24 1 1816
24 1 1663
24 1 1809
24 1 1843
24 1 1444
25 1 2912
25 1 2149
25 1 2239
25 1 3160
25 1 2053
25 1 2156
25 1 2044
25 1 3078
25 1 2459
25 1 1959
25 1 2682
25 1 2168
25 1 3026
25 1 1328
25 1 2506
25 1 2775
25 1 2632
25 1 1317
25 1 2829
25 1 3594
25 1 2030
25 1 1925
25 1 2051
25 1 2136
25 1 2194
26 1 2746
26 1 1697
26 1 1220
26 1 1665
26 1 1634
26 1 1745
26 1 1803
26 1 1649
26 1 1072
26 1 2853
26 1 2187
26 1 2177
26 1 2383
26 1 1434
26 1 2168
26 1 2045
26 1 2561
26 1 3535
26 1 832
26 1 2544
26 1 2106
26 1 2758
26 1 3001
26 1 1569
26 1 1790
26 1 2580
26 1 2528
26 1 2075
26 1 1582
27 1 3173
27 1 1925
27 1 3542
27 1 609
27 1 2269
27 1 2948
27 1 3111
27 1 1250
27 1 1742
27 1 1454
27 1 1245
27 1 1731
27 1 2042
27 1 1591
27 1 2707
27 1 968
27 1 1637
27 1 1308
27 1 1997
27 1 1766
27 1 1308
27 1 1644
27 1 3817
27 1 2381
27 1 3265
27 1 2236
27 1 2700
27 1 2740
27 1 2160
27 1 2737
28 1 3639
28 1 2441
28 1 2177
28 1 3892
28 1 3342
28 1 2714
28 1 3904
28 1 3310
28 1 3808
28 1 1943
28 1 3688
28 1 1275
28 1 3636
28 1 2986
28 1 2729
28 1 1906
28 1 2874
28 1 2063
28 1 3758
28 1 3832
28 1 2344
28 1 3231
28 1 2382
29 1 2986
29 1 1487
29 1 3917
29 1 1419
29 1 1414
29 1 2630
29 1 1117
29 1 3410
29 1 3225
29 1 1766
29 1 2795
29 1 1289
29 1 2212
29 1 4145
29 1 2775
29 1 3336
29 1 2491
29 1 3630
29 1 3002
29 1 3441
29 1 2951
29 1 3417
29 1 3063
29 1 2119
30 1 3534
30 1 1536
30 1 2922
30 1 2946
30 1 1963
30 1 3108
30 1 2797
30 1 2681
30 1 2399
30 1 4050
30 1 2454
30 1 2356
30 1 2161
30 1 2446
30 1 2392
30 1 2691
30 1 2218
30 1 3068
30 1 882
30 1 2398
30 1 1893
30 1 2966
30 1 2378
30 1 876
32 1 3284
32 1 2204
32 1 3032
32 1 2704
32 1 1147
32 1 2701
32 1 1957
32 1 3681
32 1 2177
32 1 2312
32 1 2765
32 1 2164
32 1 2671
32 1 1014
32 1 2491
32 1 2405
32 1 3870
32 1 2797
32 1 2402
32 1 3140
32 1 1932
32 1 2134
32 1 2468
32 1 2455
32 1 2434
34 1 3486
34 1 1348
34 1 2215
34 1 2448
34 1 419
34 1 2353
34 1 1436
34 1 3918
34 1 2234
34 1 2657
34 1 2452
34 1 2581
34 1 3055
34 1 1532
34 1 2185
34 1 3090
34 1 3514
34 1 1862
34 1 3689
34 1 3834
34 1 3124
34 1 2883
34 1 1698
34 1 1798
36 1 3094
36 1 3345
36 1 3481
36 1 2630
36 1 3148
36 1 2014
36 1 3447
36 1 2466
36 1 3424
36 1 3168
36 1 3151
36 1 3417
36 1 3379
36 1 1994
36 1 2976
36 1 1950
